time	V(out)
Step Information: Cx=10f  (Run: 1/11)
2.245568387537170e-004	2.979452e+000
2.263352491972103e-004	2.979453e+000
2.286732271754431e-004	2.979455e+000
2.324607488615485e-004	2.979458e+000
2.364607488615485e-004	2.979462e+000
2.404607488615485e-004	2.979466e+000
2.444607488615485e-004	2.979470e+000
2.484607488615485e-004	2.979474e+000
2.524607488615485e-004	2.979478e+000
2.536832714360350e-004	2.979507e+000
2.539415859579813e-004	2.979550e+000
2.541536423207716e-004	2.979604e+000
2.541996347270093e-004	2.979604e+000
2.542458908756616e-004	2.979591e+000
2.543135439414341e-004	2.979569e+000
2.543932558613868e-004	2.979550e+000
2.544462103426958e-004	2.979541e+000
2.545457644181281e-004	2.979528e+000
2.546192266208744e-004	2.979520e+000
2.546929392821644e-004	2.979514e+000
2.548403646047442e-004	2.979505e+000
2.550004692418303e-004	2.979498e+000
2.551904819336020e-004	2.979493e+000
2.555904744243312e-004	2.979490e+000
2.576457751372239e-004	2.979487e+000
2.589493757019233e-004	2.979487e+000
2.615565768313219e-004	2.979488e+000
2.651024761366263e-004	2.979488e+000
2.682074883654667e-004	2.979489e+000
2.715595893556792e-004	2.979492e+000
2.731880563344921e-004	2.979495e+000
2.743117765455092e-004	2.979499e+000
2.748022284763581e-004	2.979502e+000
2.751190620364693e-004	2.979503e+000
2.756852344772089e-004	2.979505e+000
2.758045086790158e-004	2.979503e+000
2.759605651387308e-004	2.979498e+000
2.761472626783680e-004	2.979488e+000
2.761982268376201e-004	2.979486e+000
2.762463803858051e-004	2.979484e+000
2.762673752880460e-004	2.979486e+000
2.762960512321157e-004	2.979496e+000
2.763168559216284e-004	2.979510e+000
2.763328649026468e-004	2.979529e+000
2.763460471691059e-004	2.979553e+000
2.763568883979060e-004	2.979579e+000
2.763649918640336e-004	2.979605e+000
2.763754343832810e-004	2.979648e+000
2.763857291834995e-004	2.979703e+000
2.764016407395238e-004	2.979819e+000
2.764181860239154e-004	2.979986e+000
2.764397849596456e-004	2.980291e+000
2.764630074566759e-004	2.980736e+000
2.764905947839188e-004	2.981406e+000
2.765235255142417e-004	2.982316e+000
2.765608013357850e-004	2.983336e+000
2.766019381901307e-004	2.984286e+000
2.766453695461758e-004	2.984969e+000
2.766932442916910e-004	2.985302e+000
2.767552616837709e-004	2.985204e+000
2.768257385179829e-004	2.984591e+000
2.769032195459202e-004	2.983531e+000
